selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
NO,32379409,1,1,0,3,1145,12,83346,77664,12,2,5,458069.616,drankye/directory-kerby
NO,41140097,1,0,0,1,48,9,210079,196234,9,8,1,72603.3024,Henning-Schulz/inspectIT
NO,42973162,1,0,0,1,1679,28,389041,186139,28,2,1,3657919.0984,matrixdigi/pinot
NO,42651558,1,0,0,1,4278,126,111113,106759,126,114,5,682780407.0696,java02014/RxJava
NO,43291725,1,0,0,1,3253,251,49866,40601,251,5,2,20357869.299,ben1247/dropwizard
NO,39741463,1,0,0,0,3042,88,319498,73085,88,6,5,51317001.9648,kidaa/aurora
YES,91099161,0,0,0,1,5,2,52783,48829,2,20,1,1055.66,manhcuongkd/blynk-server
YES,73410101,0,10,1,1,109,1,8320,3511,1,6,1,5985.408,orfjackal/cqrs-hotel
NO,52826161,1,0,0,1,1124,23,46352,45400,23,168,6,20131303.9872,gssiyankai/RoaringBitmap
NO,42691020,1,0,0,1,1096,26,73048,26798,26,8,3,1665260.6464,amluto/simple-binary-encoding
NO,89947634,1,0,0,1,120,7,4262,3611,7,2,1,716.016,kekbur/logback-ext
YES,22579517,0,0,1,1,5,1,401,47,1,5,1,1.0025,K0zka/benchmarx
NO,32396797,1,0,0,1,561,14,32850,32233,14,3,1,77401.17,Amazer/htm-java
YES,35939596,0,0,0,1,18,2,202132,196675,2,32,1,23285.6064,zhousong/netty-4-0-26
NO,25934910,1,0,0,1,1361,77,61429,54790,77,50,1,32187874.565,davidkarlsen/Hystrix
YES,19219969,0,10,4,3,16,2,547,469,2,34,2,654.6496,RichardWarburton/java-final-benchmark
NO,43481935,1,0,0,1,468,5,10153,6735,5,13,1,30885.426,irudyak/objenesis
NO,39756738,1,0,0,1,1183,66,56340,50049,66,39,1,17155766.628,sposam/Hystrix
YES,54838655,0,0,0,1,136,1,502866,204101,1,12,1,82067.7312,sergiomt/judal
YES,78833538,0,5,0,8,1247,16,19308,18603,16,1,4,231139.9296,hhu-stups/bmoth
NO,82094861,1,0,0,1,573,21,22556,21690,21,9,1,244274.7132,somasun/reactivesocket-java
YES,45509509,0,7,4,1,243,1,18415,17657,1,43,1,153934.668,terma/fast-select
NO,33796071,1,0,0,1,59,6,20669,3149,6,14,1,10243.5564,juszczakn/pcollections
YES,66208002,0,0,0,1,16,1,15703,6297,1,6,1,150.7488,riaektiv/incubator
YES,38353471,0,0,0,1,6,1,253,215,1,5,1,0.759,Ajeet-Ganga/howToGuide
YES,23994693,0,4,0,1,186,2,406770,406226,2,42,2,3177687.24,arnaudroger/orm-benchmark
NO,40324104,1,0,0,0,39,6,7204,7080,6,26,2,4382.9136,michael0521/java-8-lambdas-exercises
YES,25121397,0,123,22,11,233,6,6392,4317,6,9,1,997259.3856,vladimir-bukhtoyarov/bucket4j
NO,50189955,1,0,1,1,2875,44,127169,124737,44,11,5,17695566.35,jtulach/truffle
YES,50244301,0,227,34,26,738,12,213887,71514,12,4,1,172749514.4064,vsch/flexmark-java
YES,73284084,0,4,0,17,158,4,13423,10927,4,34,2,144216.712,outbrain/prometheus-client
NO,94082215,1,0,0,1,852,43,107256,94790,43,2,2,785886.1632,jonefeewang/armeria
NO,44147097,1,0,0,0,149,12,12750,10244,12,33,1,75230.1,kevinyien/client-java
NO,43272553,1,1,0,1,1245,71,59240,52908,71,50,1,52365198,ianynchen/Hystrix
YES,30708208,0,0,1,1,676,3,5382,4514,3,33,1,36018.4968,rkraneis/rtree
YES,19756175,0,0,0,0,7,2,163,78,2,1,2,0.2282,joekearney/string-search-bench
YES,75048609,0,0,0,1,23,2,2250,1849,2,1,1,10.35,epickrram/lock-contention
YES,48614879,0,57,9,13,191,2,10731,5834,2,5,1,118878.018,MeteoGroup/jbrotli
NO,36633015,1,0,0,1,50,3,2790,2247,3,17,1,711.45,rschmitt/invokedynamic-proxy
YES,80042554,0,0,0,0,9,2,83797,76594,2,40,1,6033.384,cs-ester-peixoto/docker-jenkins
NO,82499266,1,0,0,1,478,37,14358,13407,37,11,1,279329.1468,yyfrankyy/okio
NO,40672389,1,0,0,1,111,5,8973,7783,5,1,1,498.0015,grechaw/marklogic-jena
NO,33189121,1,0,0,1,1217,68,58152,51853,68,50,1,24062134.56,jforge/Hystrix
NO,40744000,1,0,0,1,344,20,10698,9884,20,8,1,58881.792,Shedings/okio
YES,28505345,0,55,7,5,403,5,170796,48994,5,2,1,3854524.128,apptik/jus
NO,41766244,1,0,0,1,203,8,13150,12652,8,5,3,10677.8,stevegury/reactivesocket-java
YES,45644056,0,1064,134,129,469,36,34368,28873,36,1,1,61798681.728,spotify/apollo
YES,41503865,0,1,0,0,125,2,4789,4385,2,5,1,1197.25,Alex-Diez/Java-Algorithms
YES,10566148,0,10,5,9,182,5,14865,13688,5,10,1,148798.65,Domo42/saga-lib
NO,40954382,1,0,0,1,1278,5,59393,55677,5,14,1,531329.778,tsdl2013/SimpleFlatMapper
YES,3523632,0,4793,2995,1086,1064,28,35911,34609,28,3,1,1.5386733883584e+09,springside/springside4
YES,78738294,0,0,0,0,7,1,412,410,1,10,1,2.884,happy-beans/pg
YES,5402462,0,213,78,21,1649,16,41048,35416,16,1,1,23176423.2448,j-easy/easy-batch
YES,18392628,0,0,0,1,8,3,5802,104,3,2,1,27.8496,arturotena/ExperimentalStuff
NO,93350129,1,0,0,1,988,12,95996,76274,12,3,1,341438.5728,dimstav23/cloudsim-plus
YES,25577084,0,0,1,1,5,3,800,657,3,4,2,4.800000000000001,jharting/weld-collections-benchmark
NO,42540636,1,0,0,1,11,1,348,185,1,2,1,0.7656,Poxos/collections-m0e4
YES,58921823,0,8,3,2,24,4,483408,153515,4,9,1,375898.0608,PacktPublishing/Mastering-Mesos
NO,38138525,1,0,0,1,6105,123,479512,362728,123,21,7,756152782.308,fipar/presto
NO,4069625,1,1,0,2,3212,230,48114,38922,230,5,2,35544698.64,phambryan/dropwizard
NO,1138508,1,4,0,1,2813,48,109328,100685,48,5,2,36904759.68,gunnarmorling/hibernate-validator
NO,39712361,1,0,0,1,4211,121,103398,99074,121,109,4,574260901.0842,frodoking/RxJava
NO,42564051,1,0,0,1,56,8,1235,426,8,1,1,55.328,keycai/jmh-gradle-plugin
YES,4681328,0,208,108,37,2078,53,69195,64615,53,5,4,796365462.585,airlift/airlift
YES,28560583,0,2,0,0,3,1,1593,1277,1,6,1,8.6022,prasanthj/bloomfilter
NO,40655915,1,0,0,1,243,18,332018,309575,18,15,5,2178370.098,mariusoe/inspectIT
NO,27532007,1,0,0,0,0,0,30107,23491,0,6,1,0,tempredirect/metrics
YES,12292915,0,4,1,0,18,1,4964,2743,1,24,1,1072.224,cpoepke/demos
YES,26922495,0,79,44,15,8,2,4374,3091,2,7,2,3919.104,DanielThomas/spring-boot-starter-netty
YES,76590777,0,0,0,1,47,1,3465,3051,1,2,1,32.571,Pitt112/night-hawk
NO,38866251,1,0,0,1,1080,21,52191,51164,21,3,2,355107.564,badlogicmanpreet/htm-java
YES,40714460,0,60,17,18,212,11,14861,13105,11,10,4,2114006.972,scalecube/scalecube
NO,40542634,1,0,0,1,340,19,10689,9875,19,8,1,55240.752,palaniyappanBala/okio
YES,42442350,0,2,1,1,35,2,12966,10730,2,55,2,14975.73,arnaudroger/mapping-benchmark
YES,50118546,0,10,13,17,489,10,23970,19669,10,10,2,1289346.3,Graylog2/graylog-plugin-pipeline-processor
YES,65092522,0,0,0,1,24,2,2410,2058,2,10,1,115.68,ruslan-sverchkov/aho-corasick
YES,34955758,0,1,0,1,9,1,661,350,1,9,1,10.7082,acisternino/narjillos-math-bench
NO,41783765,1,0,0,1,697,3,11515,10201,3,2,1,4815.573,tietang/rxjava-jdbc
NO,32011307,1,0,0,1,1070,55,93367,87206,55,8,6,4395718.36,madongfly/grpc-java
YES,33475038,0,4,0,15,62,3,2819,2318,3,92,1,24119.364,golo-lang/golo-jmh-benchmarks
NO,29316871,1,13,10,4,98,2,2661,2353,2,2,1,1460.3568,davidmoten/fastdtw
NO,33027845,1,0,0,1,1469,29,37534,35959,29,5,3,799492.967,johnou/orbit
YES,24381465,0,41,10,15,8,3,4072,3012,3,11,1,4515.0336,ReactiveX/RxJavaParallel
NO,38014498,1,0,0,1,1729,34,66556,62311,34,2,1,782512.2032,haozhun/airlift
NO,30710338,1,0,0,1,0,0,32325,25580,0,6,1,0,bentatham/metrics
NO,36857156,1,0,0,1,1689,84,167520,158876,84,28,8,66547789.056,anuraaga/grpc-java
YES,24384638,0,4,1,1,37,1,6063,4997,1,8,1,897.324,tkowalcz/presentations
NO,32011022,1,0,0,1,13,2,892,316,2,5,1,11.596,mkouba/template-benchmark
NO,77125696,1,0,0,1,644,40,37584,25838,40,15,1,1452245.76,hexmind/togglz
YES,12559641,0,1128,212,162,1776,41,50146,29107,41,4,3,1.6489863010176e+09,real-logic/simple-binary-encoding
YES,44936916,0,0,0,1,541,2,429581,399268,2,28,1,1301458.5976,hobinyoon/mutant-cassandra-2-2-3
NO,42276270,1,0,0,1,5817,110,283641,228969,110,8,2,145194693.336,kevintvh/druid
YES,11797725,0,45,34,15,194,10,20268,9384,10,1,1,180871.632,kpavlov/fixio
YES,88541574,0,0,0,0,39,1,1042,677,1,25,1,101.595,krystian-k/java-feature-bench
NO,18253508,1,1,0,1,212,2,11902,11328,2,2,1,2018.5792,rsby/gunmetal
YES,27342788,0,0,0,1,2,1,1188,1019,1,8,1,1.9008,artspb/javax-mail-pool
NO,32929372,1,0,0,1,71,3,2145,1322,3,2,2,91.377,marcomorain/rate-limited-logger
NO,24903977,1,0,0,1,4252,125,107742,103389,125,112,4,641366577.6,kuanghao/RxJava
NO,5072056,1,1,1,1,2075,53,69195,64615,53,5,4,7609720.125,electrum/airlift
NO,40954260,1,0,0,1,306,2,21172,19539,2,6,1,7774.3584,summerhai/ohc
YES,93467226,0,0,0,0,6,1,136553,128612,1,15,1,1228.977,xzy256/grpc-java-mips64
NO,40543680,1,0,0,0,1122,31,23881,22660,31,2,1,166125.7884,fengshao0907/servo
YES,61843633,0,5,0,1,162,2,25638,377,2,1,2,4984.0272,kvnxiao/kommandant
YES,14281190,0,1122,163,137,618,28,34685,33750,28,90,7,6.06611264868e+09,JCTools/JCTools
NO,42883689,1,0,0,1,919,50,71606,65991,50,8,5,2632236.56,eamonnmcmanus/grpc-java
NO,41617428,1,0,0,1,1404,77,60022,53335,77,50,1,32444291.88,sasrin/Hystrix
YES,53355769,0,1,2,1,34,2,5641,470,2,8,1,613.7408,Mart-Bogdan/vertx-hello
NO,17216638,1,0,0,1,2227,67,91692,76928,67,3,2,4104381.4884,devisnik/RxJava
YES,27816381,0,1,0,1,113,2,5731,4608,2,11,1,2849.4532,yanchith/pattern
NO,63677293,1,0,0,1,174,9,120710,21841,9,3,4,56709.558,wraydulany/incubator-pirk
NO,71143571,1,0,0,0,521,12,51153,47827,12,2,1,63961.7112,sakuna63/requery
YES,19641638,0,712,191,86,1207,22,125179,122100,22,37,1,8.7690527522246e+09,lettuce-io/lettuce-core
NO,43449520,1,0,0,1,4291,127,111325,106971,127,114,5,691607653.485,ronenhamias/RxJava
YES,43917000,0,0,0,1,73,1,4225,3729,1,12,1,370.11,michaljonko/blog-examples
YES,34823697,0,1,1,1,10,2,1086,304,2,13,2,56.472,ecki/jmhbench-cryptospeed
YES,8328088,0,1,3,2,175,7,41589,29902,7,2,1,20378.61,asarkar/java
NO,42021855,1,0,0,0,576,9,21158,19143,9,23,1,252271.0656,bowlofstew/Chronicle-Wire
YES,54776209,0,0,0,1,145,1,18287,16896,1,1,1,265.1615,hsqlu/coding-lab
YES,11851236,0,650,203,137,1244,31,10781,9703,31,2,1,54131754.6168,relayrides/pushy
YES,78787566,0,0,0,1,33,1,1003,917,1,5,1,16.5495,Querables/querables-java
YES,81736215,0,0,0,1,61,1,15069,13276,1,50,1,4596.045,comodal/hash-overlay
NO,35958693,1,1,1,2,284,12,14798,14137,12,26,2,262244.2368,fengjiachun/JCTools
NO,29393157,1,0,0,1,1429,9,132058,130329,9,20,1,3396795.876,DALDEI/byte-buddy
YES,70363527,0,1,0,1,75,1,58963,21389,1,2,1,1768.89,wesleyegberto/courses-projects
NO,41155739,1,0,0,1,132,14,260246,246800,14,15,4,721401.912,thkluge/inspectIT
YES,70802442,0,0,0,1,16,3,44661,44030,3,18,1,3858.7104,person-lee/nlp
YES,17403485,0,5,4,2,234,3,17503,16404,3,1,1,7372.2636,apptik/JustJson
YES,27285466,0,216,17,15,0,0,19222,18045,0,1,1,0,davidmoten/rxjava-extras
NO,42638713,1,0,0,1,1096,26,73048,26798,26,8,3,1665260.6464,smorin/simple-binary-encoding
YES,31996873,0,0,0,1,72,1,211988,203840,1,32,1,48842.0352,iloveyou416068/CookNIOServer
YES,30149926,0,26,4,9,371,3,41626,39392,3,102,1,12759209.8452,tools4j/decimal4j
YES,68309562,0,0,0,0,122,1,1085663,894890,1,1,1,13245.0886,strahanjen/strahanjen-github-io
YES,19431001,0,2,0,1,3,1,1712,1508,1,67,1,103.2336,nicoulaj/microbenchmarks
YES,43784866,0,1,1,1,46,2,416692,396463,2,28,1,214679.7184,mourao666/cassandra-sim
YES,66136118,0,0,0,2,53,1,13941,13066,1,11,1,812.7603,zzuhtzy/okio-source-read
YES,79064684,0,1,0,0,19,2,6569,1743,2,9,2,449.3196,a-hansen/alog
NO,38297533,1,0,0,1,881,12,61271,56533,12,3,4,194327.1036,YaningX/directory-kerby
NO,79222831,1,0,0,1,0,0,366552,357158,0,127,15,0,s-gheldd/netty
NO,58006769,1,1,0,0,449,11,31509,28840,11,8,1,248996.7216,jfallows/nuklei
YES,80933048,0,0,0,0,14,2,616,433,2,14,1,24.1472,bodewig/commons-compress-benchmarks
YES,81859226,0,0,1,3,32,4,16245,8867,4,3,0,623.808,tallerjavaunicen/TallerJava
NO,31378968,1,0,0,1,2044,97,211306,201693,97,31,9,129875175.8248,ejona86/grpc-java
NO,40675681,1,0,0,0,1146,60,62916,59913,60,1,1,432610.416,cthiebaud/jgrapht
YES,10746583,0,590,111,52,1516,32,60806,58996,32,200,8,3.486688034304e+10,RoaringBitmap/RoaringBitmap
YES,25292128,0,0,0,1,5,2,1275,1150,2,12,1,15.3,drankye/bufferalloc
NO,68154914,1,2,3,3,123,6,4216,3570,6,2,1,1866.8448,WriskHQ/logback-ext
YES,27981120,0,0,0,1,14,1,1142,485,1,5,1,7.993999999999999,dcapwell/java-file-operations
YES,25762578,0,0,0,1,10,2,306,249,2,11,2,6.732,robinst/microbenchmarks
NO,41660357,1,0,0,1,0,0,30102,23486,0,6,1,0,mtakaki/metrics
YES,56145756,0,1,0,1,227,1,8197,4770,1,1,1,372.1438,notsyncing/lightfur
NO,86484536,1,0,0,1,585,21,27945,24924,21,17,3,583617.3525,drmaas/resilience4j
NO,48480027,1,1,1,2,98,2,2661,2353,2,2,1,208.6224,jMotif/fastdtw
YES,67585201,0,2,0,3,346,4,47585,44359,4,3,2,59271.876,cleberecht/singa
NO,42776604,1,0,0,1,39,6,7204,7080,6,26,2,4382.9136,raulavila/java-8-lambdas-exercises
YES,26861802,0,20,6,19,1635,11,167980,36588,11,15,3,95165289.45,atlanmod/NeoEMF
YES,29980224,0,9,2,1,14,1,1008,813,1,5,1,70.56,arienkock/parallelism-benchmarks
NO,40392974,1,1,1,1,0,0,29412,22861,0,6,1,0,timezra/metrics
YES,47201252,0,0,1,52,3,2,384,247,2,2,2,0.4608,basho-labs/java-client-bench
YES,64697436,0,0,0,1,31,1,15979,757,1,9,1,445.8141,cpiotr/parallel-streams
YES,76129818,0,0,0,1,268,2,6160,5945,2,1,1,330.176,LucasPickering/terra
YES,29521154,0,1,0,1,6578,141,506467,388026,141,27,8,2.5366344996564e+09,y-lan/presto
NO,33006690,1,0,0,0,3183,93,340514,94541,93,6,6,60479168.2596,mschenck/aurora
NO,42464312,1,0,0,1,288,7,8806,7610,7,4,1,7101.1584,chiwanpark/commonmark-java
NO,54063663,1,0,0,2,193,25,197528,184624,25,3,3,285921.78,meiercaleb/incubator-rya
NO,38849102,1,0,0,0,238,5,47084,45914,5,16,2,89647.936,bdobyns/OpenRQ
YES,35783583,0,0,0,1,12,1,634,229,1,6,1,4.5648,MorganBauer/java-experiments
YES,42074804,0,0,0,1,35,2,712,301,2,3,1,14.952,f1xmAn/bindable-executors
YES,43201780,0,0,0,1,5,1,919,586,1,6,1,2.757,jmiettinen/jradixheap
YES,60118307,0,0,0,1,12,2,1320,1237,2,1,1,3.168,andrey-vasilyev/gosthash
NO,41168038,1,0,0,1,39,6,7204,7080,6,26,2,4382.9136,yuanyuanlove/java-8-lambdas-exercises
YES,30066654,0,0,0,1,28,2,2422,2248,2,3,1,40.6896,fbaro/jpack
NO,27590725,1,1,0,64,64,9,1236,427,9,1,1,142.3872,comsysto/jmh-gradle-plugin
YES,48713285,0,0,0,2,572,29,76414,68775,29,8,1,1014044.3456,AOSPB/external-okhttp
YES,25436517,0,0,0,1,2,2,933,594,2,18,1,6.717600000000001,fenderstr/my-bench
YES,46949874,0,3,0,1,120,2,9672,2585,2,2,1,1857.024,virsox/cepsim
YES,39670525,0,0,0,1,71,1,2947,2564,1,27,1,564.9399,dimitrovchi/enum-like
YES,10981994,0,1940,377,290,546,94,20599,17343,94,7,2,1.4364489933612e+09,OpenFeign/feign
NO,4730655,1,1,0,1,1513,27,61437,56774,27,2,1,1003905.1548,martint/airlift
YES,93250567,0,0,0,1,11,1,1559,1128,1,1,1,1.7149,magneticflux-/gridsim
NO,76073946,1,0,0,1,1527,32,37799,36224,32,5,3,923505.168,ceckhardt/orbit
NO,42140953,1,0,0,1,2600,56,187597,177596,56,6,2,16388473.92,NovusTheory/yangtools
YES,46379907,0,5,2,6,33,3,7177,6229,3,8,1,3410.5104,Zappos/zappos-json
NO,40089652,1,0,0,1,279,6,14483,13403,6,17,2,41215.7214,piotr-j/artemis-odb-contrib
YES,88856477,0,6,0,2,60,1,1456,905,1,6,1,366.912,codahale/xsalsa20poly1305
NO,33091896,1,0,1,1,1198,20,70892,54941,20,3,2,509571.696,DanielSperry/orbit
NO,32822640,1,0,0,1,0,0,909390,569876,0,18,2,0,abbeyj/sonarqube
YES,32693315,0,0,0,1,2,2,1593793,736749,2,36,1,22950.6192,meghana0507/grpc-java-poll
NO,22844719,1,0,0,1,3436,267,55958,45669,267,5,2,25668270.348,philandstuff/dropwizard
YES,16572637,0,15,5,5,30,2,1311,849,2,4,1,503.424,winklerm/phreak-examples
YES,40539206,0,0,0,1,7,1,213935,208108,1,32,1,4792.144,taojiaenx/netty-source-study
NO,41585177,1,0,0,1,348,20,10707,9884,20,8,1,59616.576,tempbottle/okio
NO,33008178,1,0,0,1,834,48,69700,63530,48,8,5,2232184.32,stanley-cheung/grpc-java
YES,83167680,0,0,0,1,45,1,2137,1972,1,15,1,144.2475,jvz/nio-logger
YES,91058185,0,0,0,1,3,2,2121,1939,2,13,1,16.5438,dryuf/dryuf-collection-persistent
NO,10679349,1,1,0,1,38,4,5727,5591,4,26,3,4526.6208,martint/slice
YES,46251204,0,810,211,118,891,45,111534,98944,45,2,2,725351219.406,line/armeria
NO,42049593,1,0,0,1,1946,115,83425,76256,115,40,1,74678723,wangsan/Hystrix
YES,38590098,0,19,7,10,0,0,12008,10881,0,11,3,0,n1analytics/javallier
YES,50612980,0,3,0,8,16,2,1594,843,2,16,2,326.4512,conversant/disruptor-benchmark
NO,40826419,1,0,0,1,183,3,6946,6344,3,4,1,1525.3416,marksutt/commonmark-java
YES,85482664,0,0,0,1,59,3,2373,1246,3,3,1,126.0063,solarknight/algorithm-exercise
NO,42486252,1,0,0,1,0,0,30102,23486,0,6,1,0,wfxiang08/metrics
YES,23183273,0,49,25,19,851,26,20542,19717,26,1,2,2272561.46,TridentSDK/TridentSDK
YES,43343982,0,0,0,1,6,1,908,526,1,5,1,2.724,wesamhaboush/furmat
YES,84776611,0,0,0,1,74,2,52842,49676,2,7,1,5474.4312,Gilandel/utils-assertor
YES,20762901,0,0,0,0,3,1,395,260,1,1,1,0.1185,SerCeMan/jmh-spring
NO,17991808,1,0,0,1,1594,74,79752,75685,74,4,4,3762890.7648,besza/jgrapht
NO,40556230,1,0,0,1,151,13,12761,10255,13,33,1,82664.4819,arthurdandrea/client-java
NO,32335719,1,0,0,1,3670,300,60524,49948,300,5,2,33318462,mattnelson/dropwizard
NO,42640859,1,0,0,1,350,20,10720,9897,20,8,1,60032,xubuhang/okio
NO,14143348,1,323,107,26,1306,80,35437,31434,80,6,3,719757788.544,fakemongo/fongo
YES,28358565,0,5,1,5,146,2,9257,8542,2,3,1,4865.4792,ibodrov/bpm
YES,4576305,0,6036,947,545,1172,53,60248,43488,53,36,3,8.13335619758976e+10,openzipkin/zipkin
YES,33830524,0,0,0,0,14,2,426,273,2,16,1,19.0848,xaeronation/java-jmh-benchmarks
NO,43186962,1,0,0,1,352,20,10720,9897,20,8,1,60375.04,v7lin/okio
NO,22263819,1,0,0,1,1174,65,56315,50041,65,39,1,16759850.835,KoltonAndrus/Hystrix
NO,31296982,1,0,2,1,1839,110,115127,108315,110,14,1,32604657.162,winningsix/incubator-parquet-mr
NO,34114007,1,0,0,0,83,2,1735,907,2,13,1,374.413,atomfrede/logw
YES,36793280,0,298,46,24,601,22,31240,27476,22,17,4,209955998.824,resilience4j/resilience4j
YES,53661653,0,5,1,2,9,1,256,160,1,4,1,5.5296,m0wfo/false-sharing-demo
YES,19582761,0,7,0,1,146,1,10753,10386,1,4,1,5023.8016,stewsters/stewsters-util
YES,48215349,0,0,0,1,2,2,210,42,2,2,1,0.168,elliottneilclark/time-test
NO,37195671,1,0,0,1,763,8,11978,10586,8,2,1,14622.7424,EmteZogaf/rxjava-jdbc
NO,35825245,1,0,0,1,1131,63,55549,49333,63,15,1,5937049.3455,gorcz/Hystrix
YES,34751593,0,0,0,1,2,1,6334,5907,1,34,1,43.0712,lhyqie/rtree
YES,46358624,0,0,2,0,2,1,52902,556,1,2,1,21.1608,gorkem/js-parser-benchmarks
YES,5884554,0,1,0,0,138,2,9698,9246,2,3,1,1605.9888,rolve/better-checks
NO,87771657,1,0,0,0,888,45,111328,98738,45,2,2,889733.376,minwoox/armeria
NO,82688311,1,0,0,2,222,8,22008,14583,8,110,1,429948.288,SaenkoDmitry/atom
NO,18651706,1,0,0,0,0,0,32262,25547,0,6,1,0,randomstatistic/metrics
YES,49423056,0,0,0,1,568,22,76191,68555,22,8,1,761666.1888,geekboxzone/mmallow-external-okhttp
YES,58154500,0,0,0,1,11,2,5519,4796,2,7,1,84.9926,uliashkevich/native-struct
YES,43354533,0,0,0,9,2,2,59939,56293,2,18,1,431.5608,TU-Berlin-SNET/tresor-pdp-caching
NO,39071344,1,0,0,1,74,5,6478,4550,5,3,1,719.058,pettermahlen/missinglink
YES,15629364,0,4,1,2,41,1,3867,3636,1,1,1,79.2735,lukas-krecan/java8-playground
YES,34080374,0,1,0,1,258,4,17455,16514,4,9,1,32424.408,jajir/jblinktree
YES,17950118,0,2,3,12,0,0,85674,84189,0,8,1,0,maxifier/mxcache
NO,35955880,1,0,0,1,325,31,14201,12568,31,7,1,100152.5525,gorcz/feign
NO,42315324,1,0,0,0,1227,68,58720,52387,68,50,1,24496809.6,fredboutin/Hystrix
YES,55361318,0,0,0,1,38,2,1841,819,2,4,1,55.9664,nitram509/intellij-idea-plugin-serializer-toolbox
NO,42463504,1,0,0,1,888,20,47693,46752,20,3,2,254108.304,metaml/htm-java
YES,30553584,0,11,4,2,33,4,5292,4981,4,4,2,3353.0112,titorenko/quick-csv-streamer
NO,34070338,1,0,0,1,721,20,29209,28106,20,41,3,1726894.498,orangelynx/Trident
NO,60689336,1,4,2,5,1283,20,53820,31373,20,6,2,4143063.6,hexdecteam/stagemonitor
NO,42998284,1,1,0,1,491,13,103184,102228,13,16,1,2107595.1104,morj/xodus
NO,40105903,1,0,0,1,672,38,64939,59855,38,8,5,1326625.8432,moujian/grpc-java
YES,33856324,0,6,3,16,0,0,39011,38562,0,35,4,0,cinnober/msgcodec
YES,54157034,0,0,0,1,59,3,2080,1547,3,32,2,1178.112,thaibui/algorithms-core
NO,40317661,1,0,0,1,398,14,27083,26446,14,5,1,75453.238,robertroeser/reactivesocket-java
YES,33405547,0,3,1,2,84,2,1735,907,2,13,1,1515.696,sajato/logw
YES,44430394,0,0,0,4,574,30,76318,68682,30,8,1,1051356.768,boulzordev/android-external-okhttp
YES,35952836,0,15,4,24,431,11,29430,23257,11,22,2,4911372.576,Squarespace/template-compiler
YES,81686609,0,2,0,1,18,1,3050,1872,1,1,1,16.47,smoketurner/graphiak
NO,40655326,1,0,0,1,342,20,10697,9883,20,8,1,58533.984,msdgwzhy6/okio
NO,39095903,1,0,0,1,404,2,41593,37034,2,1,1,3360.7144,phensley/less-compiler
YES,39477878,0,443,56,83,437,17,11665,10179,17,4,1,15390689.016,atlassian/commonmark-java
YES,85869150,0,1,0,1,17,1,846,484,1,8,1,23.0112,konmik/collection-benchmark
NO,40681256,1,0,0,1,353,37,14916,13164,37,7,1,136372.5132,olkulyk/feign
YES,21954550,0,0,0,1,2,1,523,383,1,5,1,0.523,enisher/polymorphic-calls-benchmark
YES,15292023,0,12,2,3,237,2,19237,16746,2,26,1,308199.8244,cache2k/cache2k-benchmark
YES,38802400,0,0,0,1,6,1,178102,125333,1,114,1,12182.1768,elitecodegroovy/log4j2
YES,22981257,0,3,5,2,0,0,36904,32181,0,6,1,0,amsa-code/risky
NO,41580238,1,0,0,1,814,47,69488,63349,47,8,5,2126777.5232,aglne/grpc-java
NO,31962017,1,0,0,9,624,39,35375,24251,39,15,1,1291329,paychex/togglz
YES,56383860,0,5,1,1,26,1,1754,815,1,5,1,136.812,karlicoss/autohash
NO,43338371,1,0,0,1,853,12,60360,55633,12,3,4,185353.488,shashankasharma/directory-kerby
NO,41199957,1,0,0,0,732,38,67227,62058,38,8,5,1495988.9856,winstar/grpc-java
YES,43925710,0,0,0,1,3,1,5205,1614,1,5,1,7.807499999999999,mikeb01/scratch
NO,41457327,1,0,0,0,48,3,6966,6139,3,1,1,100.3104,supriyantomaftuh/marklogic-jena
NO,42770610,1,0,0,1,350,20,10720,9897,20,8,1,60032,patds/okio
NO,30318587,1,0,0,1,1666,68,76578,69027,68,4,2,3470147.3856,lonnyj/pgjdbc
YES,25222765,0,15,1,6,149,1,3310,2820,1,34,1,26829.536,biboudis/streamalg
YES,10983050,0,232,218,40,310,22,29616,22732,22,3,2,14118480.288,dropbox/dropbox-sdk-java
NO,30806624,1,0,0,2,0,0,29104,22449,0,6,3,0,gburton1/metrics
YES,57812287,0,0,0,1,324,2,492461,464190,2,30,1,957344.184,hobinyoon/apache-cassandra-3-0-5-src
YES,71872383,0,0,0,2,60,3,33883,10639,3,4,1,2439.576,aitusoftware/flute
NO,40433147,1,0,0,1,938,17,31222,29666,17,1,1,49786.6012,antag99/artemis-odb
NO,39412574,1,1,0,1,1066,22,72843,26783,22,8,3,2733302.4576,MarkBruns/simple-binary-encoding
YES,76279202,0,241,41,23,3508,84,68076,53075,84,4,1,1.9418168157696e+09,google/conscrypt
NO,27347174,1,0,0,1,37,7,7422,7298,7,26,1,4997.9748,broblin/java-8-lambdas-exercises
YES,26564332,0,2,5,1,20,1,1884,1635,1,18,1,203.472,prasanthj/hasher
NO,31382190,1,0,2,1,1503,71,131565,124039,71,15,8,21059543.7675,louiscryan/grpc-java
YES,46154735,0,2011,156,80,710,23,56422,52025,23,2,1,370759795.024,requery/requery
YES,44259801,0,4,0,8,173,5,5480,567,5,27,1,63992.7,JetBrains-Research/viktor
NO,63213204,1,0,0,1,164,10,19988,9207,10,1,1,3278.032,loriopatrick/fixio
