project,benchmark,numberOfConfigChanges
reactor/reactor-core,reactor.CheckpointBenchmark.withFullCheckpoint,3
reactor/reactor-core,reactor.CheckpointBenchmark.withLightCheckpoint,3
kiegroup/kie-benchmarks,org.drools.benchmarks.session.InsertFireLoopBenchmark.test,2
kiegroup/kie-benchmarks,org.drools.benchmarks.operators.BasicOperatorsBenchmark.test,2
neo4j-contrib/neo4j-graph-algorithms,org.neo4j.graphalgo.bench.PageRankBenchmarkLdbc.run,2
netty/netty,io.netty.microbench.headers.HeadersBenchmark.http2Remove,2
netty/netty,io.netty.microbench.headers.HeadersBenchmark.http2Get,2
netty/netty,io.netty.microbench.headers.HeadersBenchmark.http2Put,2
akarnokd/akarnokd-misc,hu.akarnokd.comparison.ShakespearePlaysScrabbleWithRscOpt.measureThroughput,1
akarnokd/akarnokd-misc,hu.akarnokd.comparison.ShakespearePlaysScrabbleWithRsc.measureThroughput,1
akarnokd/akarnokd-misc,hu.akarnokd.comparison.ShakespearePlaysScrabbleWithRxJava2FlowableOpt.measureThroughput,1
akarnokd/akarnokd-misc,hu.akarnokd.comparison.ShakespearePlaysScrabbleWithRxJava2Flowable.measureThroughput,1
almondtools/stringbench,com.almondtools.stringbench.SinglePatternMatcherBenchmark.benchmarkFind,1
almondtools/stringbench,com.almondtools.stringbench.MultiPatternMatcherBenchmark.benchmarkFind,1
apache/aurora,org.apache.aurora.benchmark.SchedulingBenchmarks$AbstractBase.runBenchmark,1
apache/directory-kerby,org.apache.kerby.benchmark.KrbCodecBenchmark.decodeWithKerby,1
apache/incubator-druid,io.druid.benchmark.FlattenJSONBenchmark.baseline,1
apache/incubator-druid,io.druid.benchmark.FlattenJSONBenchmark.flatten,1
apache/incubator-druid,io.druid.benchmark.FlattenJSONBenchmark.preflattenNestedParser,1
apache/incubator-druid,io.druid.benchmark.FlattenJSONBenchmark.forcedRootPaths,1
apache/incubator-druid,io.druid.benchmark.query.GroupByBenchmark.queryMultiQueryableIndex,1
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.querySingleIncrementalIndex,1
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.querySingleQueryableIndex,1
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.queryMultiQueryableIndexWithSpilling,1
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.queryMultiQueryableIndexWithSerde,1
apache/incubator-pinot,com.linkedin.pinot.perf.BenchmarkQueryEngine.sendQueryToPinot,1
arnaudroger/mapping-benchmark,org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv,1
arnaudroger/mapping-benchmark,org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv,1
asympro/CleanStringBuilderBenchmark,asym.test.CleanStringBuilderBenchmark.setLengthZeroTrim,1
asympro/CleanStringBuilderBenchmark,asym.test.CleanStringBuilderBenchmark.setLengthZeroNoTrim,1
asympro/CleanStringBuilderBenchmark,asym.test.CleanStringBuilderBenchmark.deleteContent,1
asympro/CleanStringBuilderBenchmark,asym.test.CleanStringBuilderBenchmark.newStringBuilder,1
btraceio/btrace,net.java.btrace.BTraceBench.testSendCommand,1
crate/crate,io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLong,1
crate/crate,io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLongOptimized,1
