"project","className","jmhVersion","benchmarkName","executionTimeDefault","executionTime","executionTimePercentage","warmupTimeDefault","warmupTime","warmupTimePercentage","measurementTimeDefault","measurementTime","measurementTimePercentage","onlyModeChanged","onlySingleShot","measurementWarmupRatio","measurementWarmupRatioPerMeasurementFork","hasWarmupForks"
"Abnaxos/guards","benchmarks.GuardBenchmark","1.5.2","notGuarded","400","400.0","1.0","200","200.0","1.0","200","200.0","1.0","true","false","1.0","1.0","false"
"Abnaxos/guards","benchmarks.GuardBenchmark","1.5.2","manuallyGuarded","400","400.0","1.0","200","200.0","1.0","200","200.0","1.0","true","false","1.0","1.0","false"
"Abnaxos/guards","benchmarks.GuardBenchmark","1.5.2","manuallyMultiGuarded","400","400.0","1.0","200","200.0","1.0","200","200.0","1.0","true","false","1.0","1.0","false"
"Abnaxos/guards","benchmarks.GuardBenchmark","1.5.2","guardedByAgent","400","400.0","1.0","200","200.0","1.0","200","200.0","1.0","true","false","1.0","1.0","false"
"Abnaxos/guards","benchmarks.GuardBenchmark","1.5.2","multiGuardedByAgent","400","400.0","1.0","200","200.0","1.0","200","200.0","1.0","true","false","1.0","1.0","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomInt","1.8","timsortRandomInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkPsuedoAscendingString","1.8","timsortPsuedoAscendingString","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscendingInt","1.8","timsortAscendingInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkWorstCase","1.8","timsortWorstCase","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomBigInt","1.8","timsortRandomBigInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscending10RndAtEndInt","1.8","timsortAscending10RndAtEndInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending10RndAtEndInt","1.8","timsortAscending10RndAtEndInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscendingInt","1.8","timsortAscendingInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomWithDupsInt","1.8","timsortRandomWithDupsInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscending3RndExchInt","1.8","timsortAscending3RndExchInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDupsGaloreInt","1.8","timsortDupsGaloreInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAllEqualInt","1.8","timsortAllEqualInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomWithDupsInt","1.8","timsortRandomWithDupsInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomInt","1.8","timsortRandomInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAllEqualInt","1.8","timsortAllEqualInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkDupsGaloreInt","1.8","timsortDupsGaloreInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkWorstCase","1.8","timsortWorstCase","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomBigInt","1.8","timsortRandomBigInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkPsuedoAscendingString","1.8","timsortPsuedoAscendingString","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkDescendingInt","1.8","timsortDescendingInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDescendingInt","1.8","timsortDescendingInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending3RndExchInt","1.8","timsortAscending3RndExchInt","400","52.048","0.13012","200","2.048","0.01024","200","50.0","0.25","false","false","24.4140625","24.4140625","false"
