"project","benchmarkName","numberOfChanges"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Alog.simple","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Alog.exception","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Alog.parameter","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Log4j2.simple","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Log4j2.exception","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Log4j2.parameter","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Logback.simple","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Logback.exception","0"
"a-hansen/alog","com.comfortanalytics.alog.AlogBenchmark$Logback.parameter","0"
"Abnaxos/guards","benchmarks.GuardBenchmark.notGuarded","0"
"Abnaxos/guards","benchmarks.GuardBenchmark.manuallyGuarded","0"
"Abnaxos/guards","benchmarks.GuardBenchmark.manuallyMultiGuarded","0"
"Abnaxos/guards","benchmarks.GuardBenchmark.guardedByAgent","0"
"Abnaxos/guards","benchmarks.GuardBenchmark.multiGuardedByAgent","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomInt.timsortRandomInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkPsuedoAscendingString.timsortPsuedoAscendingString","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscendingInt.timsortAscendingInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkWorstCase.timsortWorstCase","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomBigInt.timsortRandomBigInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscending10RndAtEndInt.timsortAscending10RndAtEndInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending10RndAtEndInt.timsortAscending10RndAtEndInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscendingInt.timsortAscendingInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkRandomWithDupsInt.timsortRandomWithDupsInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAscending3RndExchInt.timsortAscending3RndExchInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDupsGaloreInt.timsortDupsGaloreInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAllEqualInt.timsortAllEqualInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomWithDupsInt.timsortRandomWithDupsInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomInt.timsortRandomInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkAllEqualInt.timsortAllEqualInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkDupsGaloreInt.timsortDupsGaloreInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkWorstCase.timsortWorstCase","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkRandomBigInt.timsortRandomBigInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkPsuedoAscendingString.timsortPsuedoAscendingString","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkDescendingInt.timsortDescendingInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDescendingInt.timsortDescendingInt","0"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending3RndExchInt.timsortAscending3RndExchInt","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathBenchmark.baselineSin","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathBenchmark.fastMathSin","0"
