"project","className","benchmarkName","sameConfig","sameCode","bothSame","neverSameBenchmark"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_streams_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_reverse_jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_reverse_streams_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_intstream_jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_intstream_streams_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_streams_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_reverse_jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_reverse_streams_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_intstream_jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_intstream_streams_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_eager_reverse_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","serial_lazy_reverse_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MinTest","parallel_lazy_reverse_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SetAddAllTest","jdk","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SetAddAllTest","ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SumByBigDecimalTest","sumByBigDecimalProduct_serial_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SumByBigDecimalTest","sumByBigDecimalProduct_parallel_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SumByBigDecimalTest","sumByBigDecimalAccount_serial_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SumByBigDecimalTest","sumByBigDecimalAccount_parallel_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SumByBigDecimalTest","sumByBigDecimalCategory_serial_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.SumByBigDecimalTest","sumByBigDecimalCategory_parallel_eager_ec","true","true","true","false"
"motlin/eclipse-collections","org.eclipse.collections.impl.jmh.MaxByIntTest","maxByQuantity_serial_lazy_direct_methodref_jdk","true","true","true","false"
